domain,score,matches
46jn1-6qxhi-avnumd.xyz,0,
xn--80akvvb.xn--p1acf,-1,ERROR
ex53yzl8.garden,0,
z1mob-gyizo-mavopu.xyz,0,
ead7ba763c19364b.com,0,
kruse-auto-sales.com,-1,ERROR
tayu13.com,-1,ERROR
oferta6384831.icu,-1,ERROR
ripple43.cfd,-1,ERROR
nh83u.top,-1,ERROR
dripcasino12.online,0,
72e51e27fdd44d30.com,0,
s888.cyou,0,
481729305.top,-1,ERROR
0668ban.com,-1,ERROR
xx7318xx.cc,-1,ERROR
h34gt.top,0,
h94jb.top,0,
verved43.cfd,-1,ERROR
852jl.com,0,
gmws173.top,0,
dap42.top,0,
hym31.top,0,
matrix48.cfd,-1,ERROR
d-4413.pro,-1,ERROR
d-8547.pro,-1,ERROR
inscricoes-abertas-petrobras-2026.shop,0,
corporatesolution-mps360.com,0,
46cdt.top,0,
daa21.top,0,
dak98.top,0,
healthrecords360.com,0,
hyb24.top,0,
happyspinslot2026.com,0,
nh45u.top,0,
33wzwcp.com,0,
31xx5761b.cc,-1,ERROR
h83tn.top,0,
fengte55.cfd,-1,ERROR
26kdt.top,0,
daq98.top,0,
mawar777xthr.lat,0,
31xx5426b.cc,-1,ERROR
bd97j-8s47b-acvpkp.xyz,0,
yuhao666.xyz,-1,ERROR
10knoodles.store,0,
ajcaspz7336.top,0,
seazms3140.top,0,
99avrjt5.top,-1,ERROR
eldorado-casino-ytb.top,0,
xx7559xx.cc,-1,ERROR
betpas-giris2026.vip,0,
hpt67.top,0,
winwin68.ink,0,
h62gn.top,0,
samiweb03.com,0,
pera777.mobi,0,
lqp37-9fqps-yxhhcg.xyz,0,
188betli.com,-1,ERROR
xn--80aafj8aqnb3j.xn--p1ai,0,
stpmhfx19h.xyz,-1,ERROR
8ksdy-d31ts-mgkkue.xyz,0,
yy0574.com,-1,ERROR
opt-in-shard-security.xyz,0,
hdporno80a.shop,0,
pulse-and-palette.com,0,
ae13916047d5cbe0.com,0,
wnsr19.cc,0,
hyn19.top,0,
fndx25.shop,-1,ERROR
hpz40.top,0,
365works.pro,-1,ERROR
100insight.com,0,
ujin-lin-reel.com,2,roi
hps11.top,0,
arts-cult-dialog.com,0,
particle-pascal-qlik-story.xyz,0,
8514boulderway.com,-1,ERROR
zfilm-hd-2315.online,0,
dav32.top,0,
t503.casino,0,
cat038.icu,0,
proxy-bandwidth-edge.xyz,0,
blaireandjason2026.com,0,
skeletonkey318.com,2,earn
padi88.online,0,
plugin-bandwidth-funnel.xyz,0,
g20lojaoficial.site,0,
suster123winjp.site,0,
vrfy03-chevronfcu.org,0,
easyhome24.info,0,
x72811.com,0,
start888xp.com,-1,ERROR
aresbet2026tr.vip,0,
1024gpu.top,-1,ERROR
dm999.bet,0,
prometheus-tag-bulma.xyz,0,
clickuniverse247.top,0,
h90gn.top,0,
metang-77s.site,0,
ufabet222.lol,0,
drd91.top,0,
alexlau666.site,0,
bwaa30.icu,0,
partition-app-brand-alt.xyz,0,
588826.cyou,0,
88996.cyou,0,
win91.store,0,
dar56.top,0,
yun8787.com,-1,ERROR
lvmaos41.com,-1,ERROR
merchant-automation-system.xyz,0,
mawar178.xyz,0,
h56gb.top,0,
15181818.com,0,
form4026.sbs,-1,ERROR
yfyyyff8899.store,0,
fugu-cazino-game2.top,-1,ERROR
frdhv36sbzx.pro,-1,ERROR
hps32.top,0,
astronotdiangkasa168.com,2,roi
123movie.com.cv,0,
48lv7xmy.garden,0,
odidonline-2026.com,-1,ERROR
kwvrrs4531.top,0,
rtpslot5000pro19.lat,0,
playwin77goal.com,1,withdraw
appsycon2026.in,0,
150meydenbauerbay.com,0,
reggie-jessa-everafter.website,0,
the-love-project.blog,0,
jnsf833.asia,-1,ERROR
dac12.top,0,
mh47u.top,0,
engine-social-app-promote.xyz,0,
hpw93.top,0,
31xx5427b.cc,-1,ERROR
mydev365.com,0,
meja777yes.xyz,1,withdraw
xn--9kq82e852f.com,-1,ERROR
drh97.top,0,
baik-s06.click,-1,ERROR
shijiebei-sports-vip.com,0,
kzhzxx4516.top,0,
wcscyw3070.top,0,
7z1it-4hv90-yansyt.xyz,0,
83039.qpon,0,
drq57.top,0,
win-city-tma.ru,0,
y58kdatl.sbs,-1,ERROR
tlmukt3385.top,0,
7e997d1a46a7678f.com,0,
6298cr15.top,0,
haw30.top,0,
dae14.top,0,
580471923.vip,0,
petir800akses.site,0,
tiger6688.com,0,
opt-in-user-split.xyz,-1,ERROR
dav34.top,0,
porsche992.blog,0,
26hive.online,0,
promote-viral-user.xyz,0,
esascasino341.com,-1,ERROR
8zh22ko.shop,-1,ERROR
gsykhi3530.top,0,
137254.asia,0,
dar19.top,0,
sinc2026.com,0,
la-belle-detente.com,2,roi
capital-top-xorvazil.sbs,0,
leerdamhof272.nl,2,plan
xn--kcrp69bbkoh90a.org,0,
sunwin2026.biz,0,
h15vn.top,0,
inheritance-claims-portal-32792.com,0,
qbjmr17.cyou,0,
retention-roi-pascal.xyz,0,
h34en.top,0,
79977803.xyz,-1,ERROR
secret-de-femme-montpellier.com,0,
20mdt.top,0,
sc88ku.beauty,1,withdraw
31xx5442b.cc,-1,ERROR
promote-qlik-social-roi.xyz,0,
h91ft.top,0,
h22tt.top,0,
user-payment-profit.xyz,-1,ERROR
31gcch.shop,-1,ERROR
rtpraja124.com,0,
holiganbet-resmi-giris.cc,0,
f27x.icu,-1,ERROR
dvg038t.makeup,-1,ERROR
sample-9x4pappxy78-test.com,-1,ERROR
form2140.sbs,-1,ERROR
daddy-casino-amw.top,0,
194420.com,0,
pp4657a.cc,-1,ERROR
h79gn.top,0,
9b664621d2f8fc0f.com,0,
dailynewsreport24.info,0,
glasscannon901.com,0,
c3vq36.shop,-1,ERROR
h31tb.top,0,
dnevniki-vampira-lordfilm.top,0,
lvslot123.info,0,
y777app.com.pk,18,minimum deposit; withdraw; passive income; roi; plan; profit; income; earn; minimum deposit
quarkl35.cfd,-1,ERROR
h30gn.top,0,
9cm48vi5.beer,0,
h54ht.top,0,
dr24-gakl.site,-1,ERROR
vp-services-llc.com,0,
biatsports19.com,0,
tag-instance-engine-people.xyz,0,
rchwma3032.top,0,
cineblog01.com,0,
h87zn.top,0,
tnhdmun1872.top,0,
5482187.cc,-1,ERROR
sage100consulting.com,0,
cpa-nord2026.fr,0,
software-in-the-loop.com,0,
31xx5723b.cc,-1,ERROR
1333735.xyz,0,
h71kn.top,0,
xn--80acjnachccfcephyb8a8a8m5b.xn--p1ai,0,
bungkhainui24hrs.online,0,
vh30u.top,0,
h76gb.top,0,
63ee005ef63375dd.com,0,
pin-up-casino-stfv3.top,0,
ez266w.com,0,
54moxx.com,-1,ERROR
title-virtualbox-prototype.xyz,0,
pk14d2.shop,-1,ERROR
lordfilms57.sbs,-1,ERROR
giqy319.top,0,
cr63i-2k00r-enaoxm.xyz,0,
kehank54.cfd,-1,ERROR
288win.com.pk,12,withdraw; passive income; roi; crypto; plan; income; earn
runtobet321.com,0,
hpd21.top,0,
xn--scp-654g33t.com,-1,ERROR
s83hbey.lat,-1,ERROR
daddy096.casino,0,
h99kb.top,0,
xn--80aagd7aajkobartho.xn--p1ai,0,
ventur25.cfd,-1,ERROR
z75qg-5vumw-kltzsq.xyz,0,
az39.org,0,
h94kn.top,0,
reliability-snippet-out.xyz,0,
soso5004.com,-1,ERROR
hpr41.top,0,
j5705xx.cc,-1,ERROR
812jl.com,0,
0755kk.com,-1,ERROR
577777514.xyz,0,
91cao7554.cc,-1,ERROR
gold777pg.vip,-1,ERROR
european-hare-hochgolling.xyz,0,
7jf8vh11.com,0,
4po1thzd57.xyz,-1,ERROR
dag11.top,0,
the-northface-online.com,-1,ERROR
drs10.top,0,
newsxx011.icu,0,
189646.cc,0,
yes-prototype-portability.xyz,0,
ipro799.life,0,
celtabet1255.com,0,
dae60.top,0,
clickheaven456.info,0,
payak99s.online,0,
pluggys24.com,-1,ERROR
sroru04.space,-1,ERROR
h18sb.top,0,
drv25.top,0,
h87xn.top,0,
cinta11pro.com,0,
llegerr-11346.sbs,0,
art461bobbie1.com,0,
1333799.xyz,0,
cup188.net,0,
aurispantrade32.fr,14,roi; crypto; trading bot; yield; investment; profit; earn
tool-qualcomm-alt-pascal.xyz,-1,ERROR
score-project-pulumi.xyz,-1,ERROR
parallels-today-priority.xyz,0,
5863937c83b814e6.com,0,
h88xn.top,0,
kk537.com,-1,ERROR
xn--27-dlclat8cged8a.xn--p1ai,0,
sgffeg3039.top,0,
debt-refinance-relief.com,0,
swap-kantrex-fin.com,4,crypto; profit
title-tool-prototype.xyz,0,
ea5e1577d10a31bb.com,0,
14la9a.pro,-1,ERROR
shoplegends543.top,0,
338h.net,0,
sohuwavazaexanalytics48.click,0,
shop230.ru,-1,ERROR
park-priority-bitbucket.xyz,0,
drum77.org,0,
77007.qpon,0,
tensorflow-refresh-park.xyz,0,
x40wb1w.makeup,-1,ERROR
elorisiav74.fr,14,roi; crypto; trading bot; yield; investment; profit; earn
waspth333.com,0,
bitbucket-target-ninja.xyz,-1,ERROR
betmac77.com,0,
gogelay88-2.site,0,
24battlehall.ru,0,
cevevoumadvisory12.digital,0,
regtech80.com,0,
91movie.pics,0,
grbets1019.com,0,
faca989106aeb99f.com,0,
lorldfilm2529.ru,2,plan
7625ry15.top,0,
y239.org,0,
kayatoto77macau.com,0,
beo38.com,-1,ERROR
ndg188.com,0,
owebrly801.top,0,
net-181.sbs,-1,ERROR
aa2124.com,0,
64mr.com,0,
daj67.top,0,
qkfan674.top,0,
xn--80aad0ajgb5c.xn--p1ai,0,
61e83xgs.garden,0,
yd99.vip,0,
hyc27.top,0,
title-prototype-platform.xyz,0,
918kissthailand.today,0,
kbuu233.icu,0,
johnp-connaughton-baincapital.com,0,
qris113link.com,0,
mkto-mlm10000139.com,0,
5588671.com,0,
park-virtualbox-portal.xyz,-1,ERROR
91cao7381.cc,-1,ERROR
pp111.win,0,
engine-shard-proxy-online.xyz,0,
178yl178.com,0,
8916022.cc,0,
qlik-priority-parallels.xyz,0,
prototype-pascal-online.xyz,-1,ERROR
6723.top,0,
edge-quality-alt.xyz,-1,ERROR
id-0016.shop,0,
biatsports11.com,0,
365conexus.com,-1,ERROR
q51mz-9lgt4-mbdvuz.xyz,0,
frdhvb0eb30.pro,-1,ERROR
trade108.com,-1,ERROR
mekar11ab.site,0,
cnic-probe-aws-north-america-vir-live-1772150401.online,-1,ERROR
912186.vip,-1,ERROR
987236.vip,0,
h77qb.top,0,
19bw.com,0,
huichan168.com,0,
xn--oy2b15c41hens.com,0,
2496ab675.shop,-1,ERROR
402bel.com,-1,ERROR
iypershiftlab234.xyz,0,
present-prometheus-promote.xyz,0,
planet-display-today.xyz,-1,ERROR
di250w4.shop,-1,ERROR
thepythoncode97.com,-1,ERROR
xn--80aaomigq6f.xn--p1ai,0,
pglisa888vip.club,0,
jvcbtxh7351.top,0,
t65r9.info,0,
613557.com,0,
xjdy99.com,-1,ERROR
betkolik1024.com,0,
order5938472610492837561928374650918273645.com,0,
otoku-shop-guide.com,0,
sg77.club,7,minimum deposit; withdraw; roi; minimum deposit
c9e0ab78fe5b4547.com,0,
austin-full-stack-developer.tech,0,
h19doqiut.shop,0,
xn--bo1b99kftbc0k8lu.asia,-1,ERROR
eleven11signs.com,0,
citra567abadi.com,0,
drq95.top,0,
ck444.beauty,2,roi
xn--55qx2ab2r8bt13enk9c2fa.com,-1,ERROR
73c2465d188da4e5.com,0,
8057666.com,-1,ERROR
28067236.com,0,
yyc87.top,-1,ERROR
emdad025.com,-1,ERROR
mqo71-fpt4s-mdzapl.xyz,0,
pedagio-online-rodo.shop,0,
krab29.shop,-1,ERROR
sexygame-488.com,0,
e86e725d29551b41.com,0,
xlzycjmvzxkwz91wsj.top,-1,ERROR
drc79.top,0,
gamehiu110.com,0,
qbtfmjf882.top,0,
zeus18.net,0,
daz82.top,0,
v06mp.com,-1,ERROR
ninja-merchant-split.xyz,0,
chi9j15z.beer,0,
title-particle-funnel.xyz,-1,ERROR
sinatra-sem-system-python.xyz,0,
1333817.xyz,0,
adm289z.org,2,roi
ch33u.top,0,
7987988.vip,0,
xn--80aknomh9a4b.xn--p1ai,0,
audi-twin-cup-be.audi,0,
499e1194a88668d3.com,0,
tensorflow-target-funnel.xyz,0,
hpc14.top,0,
75pr0o.shop,0,
tarabet732.com,0,
cuma25.site,1,withdraw
clouds25.cfd,-1,ERROR
786golds.com,-1,ERROR
daq93.top,0,
431908275.top,-1,ERROR
1js91-xi5g9-fhddtc.xyz,0,
drg76.top,0,
cg3359477.shop,-1,ERROR
dar49.top,0,
viber-tag-people-system.xyz,0,
b9572771f2cdc32c.com,0,
1f469.ru,-1,ERROR
payment59295.info,0,
mirelle33.nl,2,plan
31xx5511b.cc,-1,ERROR
bbcc2299.cc,0,
erve27.shop,0,
priority-envoy-alt-powerbi.xyz,0,
900981.com,0,
256ng071.garden,0,
h45kb.top,0,
r20.icu,0,
66cxoicjv.xyz,-1,ERROR
j5904xx.cc,-1,ERROR
azino777-qsp.top,0,
topuf1233.com,0,
h82tt.top,0,
yz9v4-48r0t-yfongr.xyz,0,
feelthelove90s.com,0,
teman21.site,0,
mhibga3252.top,0,
wwwbetcio723.com,-1,ERROR
15733988058.info,0,
zone-sem-strategy-park.xyz,0,
cobalt90.cfd,-1,ERROR
2373y.com,0,
7f96d1e33963efa7.com,0,
drp12.top,0,
mh87u.top,0,
hym75.top,0,
h24dn.top,0,
8779ev89d1.top,-1,ERROR
zone-engine-pulumi.xyz,0,
policy-people-instance-tag.xyz,0,
platform-subscribe-super.xyz,0,
xx7584xx.cc,-1,ERROR
the-better-software-company.com,0,
daa44.top,0,
